Process,Temp,Current,NG
9,69.86391347156295,1.581,정상
9,67.9081485396546,1.528,정상
9,67.66209655792429,1.582,정상
9,67.08489761472396,1.537,정상
9,66.47081535284565,1.531,정상
9,66.84317473479867,1.518,정상
9,65.18546553761685,1.504,정상
9,71.22616735603098,1.6438468389264749,정상
9,68.93957562396797,1.475,정상
10,74.13914228339809,1.484,정상
10,75.66042141558682,1.56,정상
10,75.1776601448583,1.679,정상
10,76.58643440551927,1.714,정상
10,76.87710395778115,1.702,정상
10,77.01353466824737,1.734,정상
10,74.01093857044455,1.741,정상
10,81.63822838785258,1.9998651241016383,정상
10,74.28386418628695,1.675,정상
10,74.3394548018018,1.612,정상
10,71.49933688835523,1.682,정상
10,72.81608582210924,1.683,정상
10,69.08489761472396,1.618,정상
10,69.47081535284565,1.649,정상
10,69.84317473479867,1.564,정상
10,73.18546553761685,1.573,정상
10,70.55671042933152,1.581,정상
10,72.93957562396797,1.657,정상
10,69.00784572726687,1.597,정상
10,70.11937724252256,1.651,정상
10,71.12181233844662,1.562,정상
10,69.06197573575812,1.587,정상
10,68.0864964282445,1.61,정상
10,71.25677527359753,1.563,정상
10,68.20403500015834,1.541,정상
10,67.87178422074807,1.613,정상
10,67.49957940787253,1.543,정상
10,69.86391347156295,1.536,정상
10,68.9081485396546,1.527,정상
10,70.66209655792429,1.581,정상
10,66.13914228339809,1.559,정상
10,66.66042141558682,1.6,정상
10,67.1776601448583,1.497,정상
10,68.58643440551927,1.509,정상
10,68.87710395778115,1.52,정상
10,68.01353466824737,1.552,정상
11,75.01093857044455,1.559,정상
11,75.19333628680197,1.539,정상
11,75.28386418628695,1.698,정상
11,74.3394548018018,1.703,정상
11,73.49933688835523,1.704,정상
11,76.81608582210924,1.683,정상
11,71.20403500015834,1.664,정상
11,74.87178422074807,1.739,정상
11,75.49957940787253,1.612,정상
11,72.86391347156295,1.695,정상
11,73.9081485396546,1.71,정상
11,75.66209655792429,1.649,정상
11,69.00784572726687,1.673,정상
11,70.11937724252256,1.713,정상
11,72.12181233844662,1.562,정상
11,72.06197573575812,1.587,정상
11,72.0864964282445,1.633,정상
11,69.25677527359753,1.632,정상
11,69.00784572726687,1.632,정상
11,68.11937724252256,1.568,정상
11,68.12181233844662,1.562,정상
11,71.06197573575812,1.542,정상
